"","subject","trial_num","set_size","rt","accuracy","response","correct_response","mapping","condition","location","color","locations","colors","mean_accuracy4","mean_accuracy8","mean_accuracy_combined","capacity4","capacity8","capacity_combined","trial","exclude_chance","exclude_4","exclude_inattention"
"1",1,0,8,"772","true","s","s","ks","d","b","orange","b,a,f,e,g,i,k,j","green,yellow,cyan,black,magenta,blue,brown,red",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,1,FALSE,FALSE,FALSE
"2",1,1,4,"675","true","k","k","ks","s","c","green","c,e,i,j","green,cyan,orange,blue",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,2,FALSE,FALSE,FALSE
"3",1,2,8,"565","true","s","s","ks","d","g","black","a,b,e,d,g,i,l,k","cyan,magenta,red,blue,yellow,brown,orange,green",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,3,FALSE,FALSE,FALSE
"4",1,3,8,"499","true","s","s","ks","d","g","blue","c,a,d,f,g,h,l,j","orange,yellow,red,green,magenta,cyan,black,brown",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,4,FALSE,FALSE,FALSE
"5",1,4,4,"699","true","k","k","ks","s","l","orange","c,d,g,l","red,brown,blue,orange",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,5,FALSE,FALSE,FALSE
"6",1,5,8,"620","false","s","k","ks","s","a","yellow","c,a,f,d,g,h,k,j","brown,yellow,green,black,magenta,blue,orange,cyan",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,6,FALSE,FALSE,FALSE
"7",1,6,8,"531","false","s","k","ks","s","l","orange","c,b,e,f,g,i,l,j","blue,green,cyan,black,yellow,red,orange,brown",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,7,FALSE,FALSE,FALSE
"8",1,7,8,"711","true","k","k","ks","s","a","green","b,a,d,e,h,i,k,l","orange,green,cyan,magenta,blue,yellow,red,black",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,8,FALSE,FALSE,FALSE
"9",1,8,4,"558","true","s","s","ks","d","j","blue","a,f,h,j","magenta,cyan,orange,brown",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,9,FALSE,FALSE,FALSE
"10",1,9,8,"639","true","s","s","ks","d","l","magenta","c,a,e,f,h,i,l,j","black,yellow,orange,green,cyan,red,blue,brown",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,10,FALSE,FALSE,FALSE
